E:\Anaconda3\envs\pytorch18\python.exe F:/WorkSpace/毕业设计和毕业论文/毕设/data_prossing.py
GPU is available
谣言数据总量为：1538
非谣言数据总量为：1849
数据字典生成成功！
数据列表生成成功！
Some weights of the model checkpoint at chinese-bert-wwm-ext were not used when initializing BertForSequenceClassification: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.bias', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at chinese-bert-wwm-ext and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
F:/WorkSpace/毕业设计和毕业论文/毕设/data_prossing.py:184: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  (torch.tensor(input_ids).cuda(), torch.tensor(token_type_ids).cuda(), torch.tensor(attention_mask).cuda(),
Epoch: 0, Batch: 10, Loss: 0.5975300073623657
Epoch: 0, Batch: 20, Loss: 0.780478298664093
Epoch: 0, Batch: 30, Loss: 0.7892441153526306
Epoch: 0, Batch: 40, Loss: 0.7026299238204956
Epoch: 0, Batch: 50, Loss: 0.5247407555580139
Epoch: 0, Batch: 60, Loss: 0.687526285648346
Epoch: 0, Batch: 70, Loss: 0.7922563552856445
Epoch: 0, Batch: 80, Loss: 0.7574589252471924
Epoch: 0, Batch: 90, Loss: 0.8392589688301086
Epoch: 0, Batch: 100, Loss: 0.7109105587005615
Epoch: 0, Batch: 110, Loss: 0.8058815598487854
Epoch: 0, Batch: 120, Loss: 0.6677765250205994
Epoch: 0, Batch: 130, Loss: 0.6912473440170288
Epoch: 0, Batch: 140, Loss: 0.7217258214950562
Epoch: 0, Batch: 150, Loss: 0.8250528573989868
Epoch: 0, Batch: 160, Loss: 0.8097445368766785
Epoch: 0, Batch: 170, Loss: 0.6446946859359741
Epoch: 0, Batch: 180, Loss: 0.8272694945335388
Epoch: 0, Batch: 190, Loss: 0.7490395307540894
Epoch: 0, Batch: 200, Loss: 0.6653962135314941
